0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,一流 (First class) : 0,不错 (Not bad) : 149,不错 (Not bad) : 661,不错 (Not bad) : 2060,不错 (Not bad) : 10547,住 (live) : 409
住 (live) : 12528,一流 位置 (First-class location) : 0,早餐 (breakfast) : 126,干净 (clean) : 496,住 (live) : 1737,住 (live) : 9848,不错 (Not bad) : 391
大 (Big) : 10855,一流 保洁 (First-class cleaning) : 0,干净 (clean) : 118,住 (live) : 432,干净 (clean) : 1436,大 (Big) : 8655,大 (Big) : 337
可以 (can) : 9551,一流 卫生 (First-class hygiene) : 0,住 (live) : 102,可以 (can) : 416,大 (Big) : 1390,可以 (can) : 7521,银座 (Ginza) : 240
干净 (clean) : 7136,一流 品质 (First-class quality) : 0,可以 (can) : 99,大 (Big) : 392,可以 (can) : 1283,交通 (traffic) : 5413,可以 (can) : 232
交通 (traffic) : 6966,一流 地段 (First class location) : 0,大 (Big) : 81,近 (near) : 372,日本 (Japan) : 1162,干净 (clean) : 5012,早餐 (breakfast) : 196
日本 (Japan) : 6510,一流 夜景 (First-class night view) : 0,地铁 (subway) : 79,早餐 (breakfast) : 326,近 (near) : 1140,早餐 (breakfast) : 4917,棒 (Great) : 193
早餐 (breakfast) : 6489,一流 态度 (First-class attitude) : 0,交通 (traffic) : 75,日本 (Japan) : 301,交通 (traffic) : 1126,日本 (Japan) : 4796,日本 (Japan) : 178
多 (many) : 6094,一流 性价比 (First-class value for money) : 0,日本 (Japan) : 73,多 (many) : 243,地铁 (subway) : 936,多 (many) : 4769,环境 (surroundings) : 167
近 (near) : 5743,一流 房间 (First class room) : 0,近 (near) : 64,地铁 (subway) : 219,早餐 (breakfast) : 924,近 (near) : 4096,多 (many) : 151
地铁 (subway) : 5018,一流 方面 (First-class aspect) : 0,地铁站 (subway station) : 58,交通 (traffic) : 217,多 (many) : 882,购物 (shopping) : 3696,大 房间 (Big room) : 137
购物 (shopping) : 4518,一流 早餐 (Superb breakfast) : 0,多 (many) : 49,卫生 (health) : 214,地铁站 (subway station) : 729,地铁 (subway) : 3693,交通 (traffic) : 135
地理 (geography) : 4131,一流 景 (First-class view) : 0,远 (far) : 48,距离 (distance) : 204,附近 (nearby) : 669,地理 (geography) : 3242,选择 (select) : 123
能 (can) : 3740,一流 景色 (First-class scenery) : 0,价格 (price) : 44,算 (Calculate) : 196,地理 (geography) : 618,新 (new) : 2871,推荐 (recommend) : 116
环境 (surroundings) : 3522,一流 景观 (First-class landscape) : 0,卫生 (health) : 43,远 (far) : 193,能 (can) : 610,大 房间 (Big room) : 2855,赞 (awesome) : 108
推荐 (recommend) : 3462,一流 服务 (First-class service) : 0,附近 (nearby) : 41,价格 (price) : 191,购物 (shopping) : 580,能 (can) : 2838,购物 (shopping) : 106
附近 (nearby) : 3444,一流 水准 (First-class level) : 0,能 (can) : 39,附近 (nearby) : 189,周边 (Surrounding) : 551,环境 (surroundings) : 2768,能 (can) : 103
地铁站 (subway station) : 3433,一流 水平 (First-class level) : 0,过 (Pass) : 38,地理 (geography) : 165,价格 (price) : 532,推荐 (recommend) : 2758,说 (Say) : 103
吃 (eat) : 3431,一流 海景 (Superb sea view) : 0,一般 (general) : 37,地铁站 (subway station) : 160,卫生 (health) : 520,吃 (eat) : 2701,价格 (price) : 97
大 房间 (Big room) : 3429,一流 环境 (First-class environment) : 0,周边 (Surrounding) : 36,能 (can) : 150,吃 (eat) : 490,选择 (select) : 2632,舒服 (Comfortable) : 93
周边 (Surrounding) : 3421,一流 硬件 (First-class hardware) : 0,算 (Calculate) : 35,周边 (Surrounding) : 146,距离 (distance) : 474,周边 (Surrounding) : 2613,地铁 (subway) : 91
新 (new) : 3329,一流 设施 (First-class facilities) : 0,地理 (geography) : 33,地方 (local) : 136,算 (Calculate) : 462,棒 (Great) : 2596,新 (new) : 90
算 (Calculate) : 3320,一流 设计 (First-class design) : 0,距离 (distance) : 32,吃 (eat) : 134,便利 (convenient) : 455,算 (Calculate) : 2573,里 (in) : 80
选择 (select) : 3252,一流 质量 (Top quality) : 0,购物 (shopping) : 31,说 (Say) : 129,环境 (surroundings) : 447,附近 (nearby) : 2472,吃 (eat) : 79
棒 (Great) : 3125,一流 软件 (First-class software) : 0,吃 (eat) : 27,推荐 (recommend) : 123,推荐 (recommend) : 439,地铁站 (subway station) : 2416,人员 (personnel) : 78
价格 (price) : 3028,一流 那 (First class that) : 0,不 远 (Not far) : 26,环境 (surroundings) : 123,里 (in) : 400,便利 (convenient) : 2201,周边 (Surrounding) : 75
