0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
价格 (price) : 1838,一般 (general) : 0,价格 (price) : 31,价格 (price) : 98,价格 (price) : 296,价格 (price) : 1359,价格 (price) : 54
一般 (general) : 1713,一般 东西 (General stuff) : 0,一般 (general) : 28,一般 (general) : 91,一般 (general) : 218,一般 (general) : 1325,一般 (general) : 51
中文 (Chinese) : 733,一般 交通 (General traffic) : 0,距离 (distance) : 11,距离 (distance) : 43,地理 (geography) : 125,中文 (Chinese) : 586,中文 (Chinese) : 19
地理 (geography) : 691,一般 人 (normal person) : 0,地理 (geography) : 10,陈旧 (obsolete) : 34,中文 (Chinese) : 93,地理 (geography) : 513,距离 (distance) : 15
距离 (distance) : 434,一般 价格 (General price) : 0,中文 (Chinese) : 9,地理 (geography) : 31,距离 (distance) : 84,距离 (distance) : 281,地理 (geography) : 12
陈旧 (obsolete) : 319,一般 位置 (General location) : 0,一般 设施 (General facilities) : 5,老 (old) : 30,陈旧 (obsolete) : 43,陈旧 (obsolete) : 236,一般 服务 (General service) : 7
老 (old) : 297,一般 卫生 (General hygiene) : 0,一般 早餐 (Average breakfast) : 3,中文 (Chinese) : 26,老 (old) : 26,老 (old) : 234,陈旧 (obsolete) : 6
陈旧 设施 (Obsolete facilities) : 184,一般 印象 (General impression) : 0,一般 味道 (General taste) : 2,陈旧 设施 (Obsolete facilities) : 17,陈旧 设施 (Obsolete facilities) : 25,陈旧 设施 (Obsolete facilities) : 138,一般 早餐 (Average breakfast) : 5
一般 设施 (General facilities) : 137,一般 口味 (General taste) : 0,一般 效果 (General effect) : 2,一般 设施 (General facilities) : 10,一般 设施 (General facilities) : 23,一般 设施 (General facilities) : 97,老 (old) : 5
一般 服务 (General service) : 115,一般 口感 (General taste) : 0,一般 服务 (General service) : 2,一般 位置 (General location) : 8,一般 酒店 (Average hotel) : 21,一般 服务 (General service) : 95,陈旧 设施 (Obsolete facilities) : 4
一般 酒店 (Average hotel) : 106,一般 味道 (General taste) : 0,没有 中文 (no Chinese) : 2,老 酒店 (Old hotel) : 8,一般 早餐 (Average breakfast) : 14,一般 酒店 (Average hotel) : 77,没有 中文 (no Chinese) : 3
一般 早餐 (Average breakfast) : 97,一般 品牌 (General brand) : 0,老 (old) : 2,老 设施 (Old facility) : 7,老 酒店 (Old hotel) : 11,一般 早餐 (Average breakfast) : 70,一般 位置 (General location) : 2
老 酒店 (Old hotel) : 74,一般 品种 (General variety) : 0,一般 东西 (General stuff) : 0,一般 酒店 (Average hotel) : 6,一般 卫生 (General hygiene) : 8,老 酒店 (Old hotel) : 54,一般 房间 (Average room) : 2
老 设施 (Old facility) : 58,一般 地方 (General place) : 0,一般 交通 (General traffic) : 0,一般 早餐 (Average breakfast) : 5,一般 环境 (General environment) : 8,老 设施 (Old facility) : 41,一般 设施 (General facilities) : 2
一般 性价比 (Average value for money) : 44,一般 地段 (General location) : 0,一般 人 (normal person) : 0,一般 服务 (General service) : 4,一般 服务 (General service) : 7,一般 性价比 (Average value for money) : 38,一般 酒店 (Average hotel) : 2
