keyword,translated_keyword
一流,First class
一流 位置,First-class location
一流 保洁,First-class cleaning
一流 卫生,First-class hygiene
一流 品质,First-class quality
一流 地段,First class location
一流 夜景,First-class night view
一流 态度,First-class attitude
一流 性价比,First-class value for money
一流 房间,First class room
一流 方面,First-class aspect
一流 早餐,Superb breakfast
一流 景,First-class view
一流 景色,First-class scenery
一流 景观,First-class landscape
一流 服务,First-class service
一流 水准,First-class level
一流 水平,First-class level
一流 海景,Superb sea view
一流 环境,First-class environment
一流 硬件,First-class hardware
一流 设施,First-class facilities
一流 设计,First-class design
一流 质量,Top quality
一流 软件,First-class software
一流 那,First class that
一流 酒店,First class hotel
一流 风景,First-class scenery
一般,general
一般 一般,General general
一般 不足,Generally insufficient
一般 东,General east
一般 东西,General stuff
一般 交通,General traffic
一般 人,normal person
一般 价格,General price
一般 位置,General location
一般 住宿,General accommodation
一般 其它,General other
一般 卫生,General hygiene
一般 印象,General impression
一般 口味,General taste
一般 口感,General taste
一般 周围,General vicinity
一般 味道,General taste
一般 品牌,General brand
一般 品种,General variety
一般 品质,General quality
一般 地方,General place
一般 地段,General location
一般 地点,General location
一般 大厅,General lobby
一般 大小,General size
一般 好,Fair good
一般 宵夜,Average supper
一般 宾馆,General Hotel
一般 小,Average small
一般 希尔顿,General Hilton
一般 床,Average bed
一般 态度,General attitude
一般 性价比,Average value for money
一般 总体,General overall
一般 情况,generally
一般 感觉,General feeling
一般 房间,Average room
一般 效果,General effect
一般 方面,General aspect
一般 旅馆,General Hotel
一般 日本,General Japan
一般 早晨,Average morning
一般 早餐,Average breakfast
一般 早饭,Average breakfast
一般 晚餐,Average dinner
一般 景色,General scenery
一般 景观,General landscape
一般 服务,General service
一般 条件,General condition
一般 比较,General comparison
一般 水准,Average level
一般 水平,The general level
一般 水质,General water quality
一般 沙滩,Average beach
一般 海水,General sea water
一般 温泉,General hot spring
一般 状况,General condition
一般 环境,General environment
一般 用品,General supplies
一般 真心,So honest
一般 硬件,General hardware
一般 种类,General type
一般 程度,Average
一般 空气,General air
一般 空间,General space
一般 缺点,General disadvantages
一般 网速,General Internet speed
一般 自助餐,Average buffet
一般 英文,General English
一般 英语,General English
一般 装修,General decoration
一般 设备,General equipment
一般 设施,General facilities
一般 话,General
一般 质量,General quality
一般 购物,General shopping
一般 选择,General choice
一般 酒店,Average hotel
一般 隔音,Soundproof
一般 需求,General demand
一般 面积,General area
一般 风景,Average scenery
一般 食物,General food
一般 餐厅,Average restaurant
一般 餐饮,General Dining
一般 饭店,Average restaurant
不 一流,Not superb
不 一般,abnormal
不 不错,Not good
不 中文,No Chinese
不 住,Not live
不 便利,Not convenient
不 卫生,Unsanitary
不 可以,No
不 吃,Don't eat
不 地方,Not place
不 坐,Not sitting
不 多,not much
不 大,Not big
不 好吃,unpalatable
不 干净,Not clean
不 推荐,Not recommended
不 新,Not new
不 日式,Not Japanese
不 棒,Not great
不 漂亮,Not pretty
不 热情,Not passionate
不 看到,Not see
不 算,Not count
不 能,Can't
不 舒服,Uncomfortable
不 见,Not see
不 订,Not order
不 说,Did not say
不 购物,Not shopping
不 赞,Not like
不 过,But
不 近,not near
不 远,Not far
不 选择,Not choose
不 问题,No problem
不 陈旧,Not old
不 需要,Not needed
不错,Not bad
不错 ....,Not bad...
不错 一切,Good everything
不错 不错,Not bad
不错 东西,Good thing
不错 两,Good two
不错 中心,Nice center
不错 中文,Good Chinese
不错 主楼,Good main building
不错 之一,Nice one
不错 五星,Good five stars
不错 交通,Good traffic
不错 产品,Good product
不错 享受,Nice enjoy
不错 人,Nice people
不错 人员,Nice staff
不错 人间,Nice world
不错 什么,Not bad what
不错 代,Good generation
不错 价,Good price
不错 价位,Good price
不错 价格,Good price
不错 价钱,Good price
不错 优势,Good advantage
不错 位子,Nice seat
不错 位置,Good location
不错 住,Good live
不错 住宅,Good residential
不错 住宿,Good accommodation
不错 体验,Good experience
不错 保养,Good maintenance
不错 保持,Good keep
不错 信号,Good signal
不错 做,Good do
不错 关键,Good key
不错 其他,Good other
不错 其余,Good rest
不错 其它,Good other
不错 内容,Good content
不错 内部,Nice internal
不错 出品,Not bad
不错 出行,Not bad travel
不错 别的,Good other
不错 前台,Good front desk
不错 区,Nice area
不错 卫生,Good health
不错 卫生间,Nice bathroom
不错 印象,Good impression
不错 厅,Nice hall
不错 去处,Good place
不错 反响,Good response
不错 反应,Good response
不错 反馈,Good feedback
不错 口味,Good taste
不错 台,Not bad
不错 吃,Good eat
不错 吃饭,Good meal
不错 吕,Not bad Lv
不错 吹风机,Nice hair dryer
不错 周围,Good around
不错 周边,Good surrounding
不错 味道,Good taste
不错 咖啡,Good coffee
不错 咖啡馆,Nice cafe
不错 品,Good product
不错 品牌,Good brand
不错 品质,Good quality
不错 哒,Not bad
不错 哟,not bad
不错 哦,not bad
不错 商业,Good business
不错 商业街,Good commercial street
不错 商场,Nice mall
不错 商店,Nice shop
不错 噢,Not bad oh
不错 地,Nicely
不错 地址,Nice address
不错 地方,Nice place
不错 地段,Good location
不错 地点,Good location
不错 地理,Good geography
不错 地角,Not bad
不错 地铁,Good subway
不错 地铁站,Good subway station
不错 外景,Good location
不错 外观,Good appearance
不错 夜景,Good night view
不错 大堂,Nice lobby
不错 大小,Good size
不错 套餐,Good set meal
不错 好,Good good
不错 孩子,Nice kid
不错 安全,Good safe
不错 实惠,Good affordable
不错 客房,Nice rooms
不错 家,Good home
不错 宾馆,Nice hotel
不错 对面,Good opposite
不错 寿司,Good sushi
不错 小,Nice small
不错 小店,Nice shop
不错 小样,Good sample
不错 居酒屋,Good izakaya
不错 布局,Nice layout
不错 希尔顿,Good hilton
不错 帮,Good help
不错 床,Nice bed
不错 店,Nice shop
不错 庭院,Nice courtyard
