0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
多 (many) : 2971,一般 (general) : 0,一般 (general) : 0,价格 (price) : 31,多 (many) : 136,多 (many) : 402,多 (many) : 708,多 (many) : 460,多 (many) : 1158,多 (many) : 78
价格 (price) : 1838,一般 一般 (General general) : 0,一般 一般 (General general) : 0,多 (many) : 29,价格 (price) : 98,价格 (price) : 296,一般 (general) : 504,价格 (price) : 326,价格 (price) : 561,价格 (price) : 54
一般 (general) : 1713,一般 不足 (Generally insufficient) : 0,一般 不足 (Generally insufficient) : 0,一般 (general) : 28,一般 (general) : 91,能 (can) : 219,价格 (price) : 472,一般 (general) : 311,一般 (general) : 510,一般 (general) : 51
能 (can) : 1353,一般 东西 (General stuff) : 0,一般 东西 (General stuff) : 0,能 (can) : 18,能 (can) : 52,一般 (general) : 218,能 (can) : 329,能 (can) : 280,说 (Say) : 471,说 (Say) : 44
说 (Say) : 1196,一般 交通 (General traffic) : 0,一般 交通 (General traffic) : 0,看到 (see) : 15,说 (Say) : 46,说 (Say) : 171,说 (Say) : 254,说 (Say) : 201,能 (can) : 436,需要 (need) : 24
中文 (Chinese) : 733,一般 人 (normal person) : 0,一般 人 (normal person) : 0,需要 (need) : 13,距离 (distance) : 43,地理 (geography) : 125,地理 (geography) : 164,看到 (see) : 140,中文 (Chinese) : 337,中文 (Chinese) : 19
需要 (need) : 696,一般 价格 (General price) : 0,一般 价格 (General price) : 0,距离 (distance) : 11,需要 (need) : 42,需要 (need) : 100,需要 (need) : 158,订 (Order) : 134,地理 (geography) : 239,能 (can) : 19
地理 (geography) : 691,一般 位置 (General location) : 0,一般 位置 (General location) : 0,地理 (geography) : 10,陈旧 (obsolete) : 34,中文 (Chinese) : 93,中文 (Chinese) : 155,需要 (need) : 120,需要 (need) : 239,看到 (see) : 15
看到 (see) : 550,一般 其它 (General other) : 0,一般 其它 (General other) : 0,中文 (Chinese) : 9,地理 (geography) : 31,距离 (distance) : 84,订 (Order) : 134,地理 (geography) : 110,订 (Order) : 160,距离 (distance) : 15
订 (Order) : 533,一般 卫生 (General hygiene) : 0,一般 卫生 (General hygiene) : 0,说 (Say) : 9,看到 (see) : 31,看到 (see) : 70,看到 (see) : 124,中文 (Chinese) : 94,看到 (see) : 155,订 (Order) : 13
距离 (distance) : 434,一般 印象 (General impression) : 0,一般 印象 (General impression) : 0,不 多 (not much) : 7,老 (old) : 30,订 (Order) : 61,距离 (distance) : 116,陈旧 (obsolete) : 71,老 (old) : 134,地理 (geography) : 12
陈旧 (obsolete) : 319,一般 口味 (General taste) : 0,一般 口味 (General taste) : 0,订 (Order) : 6,中文 (Chinese) : 26,不 多 (not much) : 47,陈旧 (obsolete) : 75,距离 (distance) : 68,多 人 (Multiple people) : 131,不 多 (not much) : 8
老 (old) : 297,一般 口感 (General taste) : 0,一般 口感 (General taste) : 0,一般 设施 (General facilities) : 5,订 (Order) : 25,陈旧 (obsolete) : 43,不 多 (not much) : 71,老 (old) : 45,距离 (distance) : 97,一般 服务 (General service) : 7
不 多 (not much) : 277,一般 味道 (General taste) : 0,一般 味道 (General taste) : 0,多 品种 (multi breed) : 4,陈旧 设施 (Obsolete facilities) : 17,老 (old) : 26,一般 一般 (General general) : 56,陈旧 设施 (Obsolete facilities) : 43,不 多 (not much) : 92,陈旧 (obsolete) : 6
多 人 (Multiple people) : 246,一般 品牌 (General brand) : 0,一般 品牌 (General brand) : 0,多 店 (Multi shop) : 4,不 多 (not much) : 11,陈旧 设施 (Obsolete facilities) : 25,老 (old) : 55,不 多 (not much) : 41,陈旧 (obsolete) : 90,一般 早餐 (Average breakfast) : 5
陈旧 设施 (Obsolete facilities) : 184,一般 品种 (General variety) : 0,一般 品种 (General variety) : 0,一般 早餐 (Average breakfast) : 3,一般 设施 (General facilities) : 10,多 人 (Multiple people) : 24,多 人 (Multiple people) : 43,多 人 (Multiple people) : 36,陈旧 设施 (Obsolete facilities) : 53,老 (old) : 5
一般 设施 (General facilities) : 137,一般 地方 (General place) : 0,一般 地方 (General place) : 0,一般 味道 (General taste) : 2,见 (see) : 10,一般 设施 (General facilities) : 23,一般 设施 (General facilities) : 42,一般 设施 (General facilities) : 23,一般 服务 (General service) : 39,陈旧 设施 (Obsolete facilities) : 4
一般 服务 (General service) : 115,一般 地段 (General location) : 0,一般 地段 (General location) : 0,一般 好 (Fair good) : 2,多 人 (Multiple people) : 9,一般 酒店 (Average hotel) : 21,陈旧 设施 (Obsolete facilities) : 42,一般 服务 (General service) : 22,没有 说 (Did not say) : 34,多 东西 (Many things) : 3
一般 酒店 (Average hotel) : 106,一般 地点 (General location) : 0,一般 地点 (General location) : 0,一般 效果 (General effect) : 2,一般 位置 (General location) : 8,不 说 (Did not say) : 17,一般 酒店 (Average hotel) : 37,没有 说 (Did not say) : 22,老 酒店 (Old hotel) : 34,没有 中文 (no Chinese) : 3
没有 说 (Did not say) : 103,一般 大小 (General size) : 0,一般 大小 (General size) : 0,一般 服务 (General service) : 2,老 酒店 (Old hotel) : 8,多 品种 (multi breed) : 17,一般 服务 (General service) : 34,一般 早餐 (Average breakfast) : 19,一般 设施 (General facilities) : 32,没有 说 (Did not say) : 3
一般 早餐 (Average breakfast) : 97,一般 好 (Fair good) : 0,一般 好 (Fair good) : 0,没有 中文 (no Chinese) : 2,老 设施 (Old facility) : 7,一般 早餐 (Average breakfast) : 14,没有 说 (Did not say) : 24,一般 酒店 (Average hotel) : 15,不 说 (Did not say) : 32,见 (see) : 3
不 说 (Did not say) : 89,一般 宵夜 (Average supper) : 0,一般 宵夜 (Average supper) : 0,老 (old) : 2,一般 酒店 (Average hotel) : 6,没有 说 (Did not say) : 14,一般 早餐 (Average breakfast) : 21,不 说 (Did not say) : 15,一般 早餐 (Average breakfast) : 30,一般 位置 (General location) : 2
多 品种 (multi breed) : 89,一般 宾馆 (General Hotel) : 0,一般 宾馆 (General Hotel) : 0,一般 一般 (General general) : 0,多 品种 (multi breed) : 6,多 店 (Multi shop) : 13,不 说 (Did not say) : 20,多 地方 (Many places) : 14,多 品种 (multi breed) : 30,一般 好 (Fair good) : 2
老 酒店 (Old hotel) : 74,一般 小 (Average small) : 0,一般 小 (Average small) : 0,一般 不足 (Generally insufficient) : 0,多 行李 (Much luggage) : 6,多 东西 (Many things) : 12,多 品种 (multi breed) : 18,多 品种 (multi breed) : 12,多 行李 (Much luggage) : 30,一般 房间 (Average room) : 2
多 行李 (Much luggage) : 66,一般 希尔顿 (General Hilton) : 0,一般 希尔顿 (General Hilton) : 0,一般 东西 (General stuff) : 0,没有 说 (Did not say) : 6,老 酒店 (Old hotel) : 11,一般 性价比 (Average value for money) : 17,老 酒店 (Old hotel) : 11,老 设施 (Old facility) : 26,一般 设施 (General facilities) : 2
见 (see) : 59,一般 态度 (General attitude) : 0,一般 态度 (General attitude) : 0,一般 交通 (General traffic) : 0,一般 早餐 (Average breakfast) : 5,见 (see) : 9,多 行李 (Much luggage) : 15,见 (see) : 10,一般 酒店 (Average hotel) : 25,一般 酒店 (Average hotel) : 2
老 设施 (Old facility) : 58,一般 性价比 (Average value for money) : 0,一般 性价比 (Average value for money) : 0,一般 人 (normal person) : 0,多 地方 (Many places) : 5,一般 卫生 (General hygiene) : 8,多 酒店 (Multiple hotels) : 15,一般 性价比 (Average value for money) : 9,多 种类 (Many kinds) : 18,不 说 (Did not say) : 2
一般 一般 (General general) : 56,一般 总体 (General overall) : 0,一般 总体 (General overall) : 0,一般 价格 (General price) : 0,一般 服务 (General service) : 4,一般 环境 (General environment) : 8,一般 态度 (General attitude) : 14,一般 房间 (Average room) : 9,没有 一般 (No average) : 18,多 人 (Multiple people) : 2
多 东西 (Many things) : 53,一般 情况 (generally) : 0,一般 情况 (generally) : 0,一般 位置 (General location) : 0,多 话 (Chatty) : 4,多 地方 (Many places) : 8,多 地方 (Many places) : 14,多 吃 (Eat more) : 9,见 (see) : 18,多 品种 (multi breed) : 2
多 地方 (Many places) : 52,一般 感觉 (General feeling) : 0,一般 感觉 (General feeling) : 0,一般 其它 (General other) : 0,没有 多 (No more) : 4,多 居酒屋 (Multiple izakaya) : 8,多 游客 (Many tourists) : 14,没有 一般 (No average) : 9,多 东西 (Many things) : 17,多 地方 (Many places) : 2
一般 性价比 (Average value for money) : 44,一般 房间 (Average room) : 0,一般 房间 (Average room) : 0,一般 卫生 (General hygiene) : 0,陈旧 点 (Stale point) : 4,多 行李 (Much luggage) : 8,没有 订 (Not ordered) : 13,一般 装修 (General decoration) : 8,多 客人 (Multiple guests) : 17,多 平米 (Multiple square meters) : 2
