0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,不错 (Not bad) : 749,不错 (Not bad) : 5056,不错 (Not bad) : 4109,不错 (Not bad) : 853,不错 (Not bad) : 3041,一流 (First class) : 0
大 (Big) : 10855,大 (Big) : 514,大 (Big) : 3628,大 (Big) : 3163,大 (Big) : 784,大 (Big) : 2766,一流 位置 (First-class location) : 0
干净 (clean) : 7136,干净 (clean) : 456,干净 (clean) : 3252,交通 (traffic) : 2681,早餐 (breakfast) : 784,新 (new) : 1711,一流 保洁 (First-class cleaning) : 0
交通 (traffic) : 6966,近 (near) : 412,近 (near) : 2619,干净 (clean) : 2263,吃 (eat) : 459,交通 (traffic) : 1371,一流 卫生 (First-class hygiene) : 0
早餐 (breakfast) : 6489,交通 (traffic) : 255,交通 (traffic) : 2379,购物 (shopping) : 1914,棒 (Great) : 444,早餐 (breakfast) : 1317,一流 品质 (First-class quality) : 0
近 (near) : 5743,远 (far) : 237,早餐 (breakfast) : 2303,地铁 (subway) : 1881,周边 (Surrounding) : 288,棒 (Great) : 1138,一流 地段 (First class location) : 0
地铁 (subway) : 5018,早餐 (breakfast) : 235,地铁 (subway) : 1885,早餐 (breakfast) : 1850,大 房间 (Big room) : 284,环境 (surroundings) : 1110,一流 夜景 (First-class night view) : 0
购物 (shopping) : 4518,算 (Calculate) : 217,附近 (nearby) : 1491,地理 (geography) : 1572,交通 (traffic) : 280,购物 (shopping) : 1080,一流 态度 (First-class attitude) : 0
地理 (geography) : 4131,距离 (distance) : 203,地理 (geography) : 1465,近 (near) : 1469,干净 (clean) : 272,大 房间 (Big room) : 1014,一流 性价比 (First-class value for money) : 0
环境 (surroundings) : 3522,价格 (price) : 198,算 (Calculate) : 1315,地铁站 (subway station) : 1213,环境 (surroundings) : 262,近 (near) : 996,一流 房间 (First class room) : 0
推荐 (recommend) : 3462,附近 (nearby) : 196,地铁站 (subway station) : 1288,推荐 (recommend) : 1108,赞 (awesome) : 255,选择 (select) : 954,一流 方面 (First-class aspect) : 0
附近 (nearby) : 3444,地铁 (subway) : 189,购物 (shopping) : 1203,周边 (Surrounding) : 1082,选择 (select) : 252,地铁 (subway) : 923,一流 早餐 (Superb breakfast) : 0
地铁站 (subway station) : 3433,推荐 (recommend) : 181,周边 (Surrounding) : 1190,便利 (convenient) : 1080,近 (near) : 247,干净 (clean) : 893,一流 景 (First-class view) : 0
吃 (eat) : 3431,卫生 (health) : 170,价格 (price) : 1184,选择 (select) : 1055,推荐 (recommend) : 239,推荐 (recommend) : 774,一流 景色 (First-class scenery) : 0
大 房间 (Big room) : 3429,地理 (geography) : 168,推荐 (recommend) : 1160,吃 (eat) : 1024,购物 (shopping) : 222,地理 (geography) : 762,一流 景观 (First-class landscape) : 0
