0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
pricey : 462,ability : 0,ability : 0,worst : 6,dated : 40,poor : 57,poor : 136,poor : 92,pricey : 163,pricey : 40
poor : 460,abit : 0,abit : 0,walkway : 5,poor : 29,dated : 41,dated : 131,pricey : 92,dated : 150,sense : 34
dated : 431,accord : 0,accord : 0,funny : 4,disappointing : 26,disappointing : 38,pricey : 120,dated : 65,disappointing : 129,minor : 33
disappointing : 376,accurate : 0,accurate : 0,unable : 4,worst : 24,annoying : 36,disappointing : 112,worst : 64,poor : 124,lighting : 20
worst : 327,accurate information : 0,accurate information : 0,worse : 4,uncomfortable : 23,worst : 36,uncomfortable : 103,carpet : 55,worst : 98,disappointing : 19
minor : 258,accurate reviews : 0,accurate reviews : 0,annoying : 3,cigarette : 22,cigarette : 31,minor : 93,uncomfortable : 55,walkway : 82,poor : 19
uncomfortable : 253,advanced : 0,advanced : 0,dirty : 3,pricey : 22,rude : 28,smallest : 88,dirty : 51,carpet : 71,annoying : 16
carpet : 240,advanced book : 0,advanced book : 0,funny smell : 3,minor : 21,uncomfortable : 26,worst : 86,disappointing : 50,minor : 63,mixed : 15
annoying : 220,advanced reservation : 0,advanced reservation : 0,poor : 3,paper : 19,paper : 25,cigarette : 79,cigarette : 46,sense : 63,disappointment : 14
sense : 220,advanced toilet : 0,advanced toilet : 0,renovation : 3,unable : 19,pricey : 24,annoying : 70,unable : 43,outdated : 58,paper : 14
cigarette : 219,affair : 0,affair : 0,carpet : 2,european : 18,cramped : 23,carpet : 67,european : 41,lighting : 51,bedside : 13
unable : 215,affect : 0,affect : 0,carrying : 2,annoying : 17,unable : 23,cramped : 67,bottled : 38,unable : 51,cigarette : 13
european : 206,aircon : 0,aircon : 0,cigarette : 2,wet : 17,aircon : 22,dirty : 67,mixed : 34,european : 47,smallest : 13
smallest : 192,annoying : 0,annoying : 0,correct : 2,rude : 16,bottled : 22,unable : 67,paper : 34,paper : 47,european : 12
dirty : 188,annoying elevator : 0,annoying elevator : 0,curtain : 2,carpet : 14,european : 22,european : 66,annoying : 33,rude : 46,worst : 12
paper : 182,annoying habit : 0,annoying habit : 0,disappointing : 2,plastic : 14,plastic : 22,wardrobe : 66,terrible : 33,annoying : 45,write : 12
rude : 181,annoying noise : 0,annoying noise : 0,disturb : 2,cramped : 13,carpet : 21,plastic : 65,minor : 32,terrible : 43,awkward : 11
lighting : 180,annoying part : 0,annoying part : 0,electrical : 2,sense : 13,sense : 21,rude : 60,smallest : 32,disappointment : 37,correct : 11
bottled : 164,annoying room : 0,annoying room : 0,electrical outlet : 2,smallest : 13,stuffy : 19,sense : 59,write : 31,bottled : 36,rude : 11
plastic : 159,annoying step : 0,annoying step : 0,horrible : 2,lighting : 12,terrible : 19,disappointment : 58,bottled water : 30,dirty : 36,carpet : 10
terrible : 159,annoying wifi : 0,annoying wifi : 0,horrible noise : 2,terrible : 12,wardrobe : 19,mixed : 55,sense : 29,renovation : 35,cramped : 10
cramped : 155,argue : 0,argue : 0,lighting : 2,dirty : 11,wet : 19,lighting : 54,correct : 28,uncomfortable : 33,plate : 10
disappointment : 152,awkward : 0,awkward : 0,shelf : 2,outdated : 11,cottage : 18,bottled : 50,renovation : 28,weird : 33,policy : 10
mixed : 143,awkward bathroom : 0,awkward bathroom : 0,shock : 2,mixed : 10,plug : 18,terrible : 48,weird : 28,bottled water : 32,bottled : 9
walkway : 143,awkward bit : 0,awkward bit : 0,stale : 2,correct : 9,smallest : 18,weird : 48,lighting : 26,improve : 32,exciting : 9
wet : 143,awkward configuration : 0,awkward configuration : 0,stick : 2,crazy : 9,bottled water : 17,renovation : 47,cramped : 25,crazy : 31,renovation : 9
weird : 139,awkward layout : 0,awkward layout : 0,terrible : 2,useless : 9,weird : 16,improve : 44,wardrobe : 25,wet : 31,stick : 9
renovation : 137,awkward position : 0,awkward position : 0,uncomfortable : 2,write : 9,worse : 16,paper : 42,wet : 25,ridiculous : 30,stuffy : 9
bottled water : 134,awkward shower : 0,awkward shower : 0,unsure : 2,aircon : 8,carrying : 15,bottled water : 41,disappointment : 24,worse : 29,training : 9
wardrobe : 134,awkward situation : 0,awkward situation : 0,worst room : 2,curtain : 8,lighting : 15,policy : 40,plastic : 24,mediocre : 28,wardrobe : 9
outdated : 128,awkward time : 0,awkward time : 0,yellow : 2,disappointment : 8,ridiculous : 15,horrible : 39,tough : 22,plastic : 27,waste : 9
write : 126,background : 0,background : 0,ability : 0,smallest room : 8,dirty : 14,wet : 39,rude : 20,skip : 27,wet : 9
improve : 114,backpacker : 0,backpacker : 0,abit : 0,stuffy : 8,minor : 14,skip : 37,uncomfortable bed : 20,smallest : 27,bottled water : 8
correct : 110,ball : 0,ball : 0,accord : 0,bottled : 7,write : 14,smallest room : 37,worse : 20,cigarette : 26,criticism : 8
crazy : 107,bang : 0,bang : 0,accurate : 0,dangerous : 7,tough : 13,awkward : 36,aircon : 18,gripe : 26,dead : 8
skip : 104,bare : 0,bare : 0,accurate information : 0,funny : 7,walkway : 13,crazy : 33,opinion : 18,write : 26,device : 8
policy : 102,bare bone : 0,bare bone : 0,accurate reviews : 0,sunday : 7,policy : 12,plug : 33,skip : 18,correct : 24,london : 8
worse : 102,bare foot : 0,bare foot : 0,advanced : 0,wardrobe : 7,renovation : 12,write : 33,improve : 17,opinion : 24,opinion : 8
opinion : 92,bare minimum : 0,bare minimum : 0,advanced book : 0,waste : 7,skip : 12,claustrophobic : 32,outdated : 17,mold : 23,rollaway : 8
plug : 92,bare necessity : 0,bare necessity : 0,advanced reservation : 0,worse : 7,crazy : 11,outdated : 31,struggle : 17,plug : 23,shelf : 8
carrying : 91,bare room : 0,bare room : 0,advanced toilet : 0,bedside : 6,disappointment : 11,aircon : 30,awkward : 16,policy : 23,uncomfortable : 8
awkward : 90,bare wall : 0,bare wall : 0,affair : 0,bottled water : 6,electrical : 11,electrical : 30,carrying : 16,carrying : 22,waitress : 8
aircon : 88,bedside : 0,bedside : 0,affect : 0,improve : 6,horrible : 11,opinion : 30,crazy : 16,mixed : 22,improvement : 7
funny : 86,blanket : 0,blanket : 0,aircon : 0,skip : 6,smallest room : 11,funny : 29,funny : 16,funny : 21,plug : 7
horrible : 86,bottled : 0,bottled : 0,annoying elevator : 0,tough : 6,poor service : 10,gripe : 29,mold : 14,romantic : 19,unable : 7
stuffy : 85,bottled drink : 0,bottled drink : 0,annoying habit : 0,trash : 6,correct : 9,struggle : 29,policy : 14,device : 18,walkway : 7
ridiculous : 83,bottled tea : 0,bottled tea : 0,annoying noise : 0,weird : 6,curtain : 9,waste : 29,meat : 13,exciting : 18,crazy : 6
tough : 83,bottled water : 0,bottled water : 0,annoying part : 0,accurate : 5,disturb : 8,carrying : 28,ridiculous : 13,waste : 18,dirty : 6
smallest room : 80,burger : 0,burger : 0,annoying room : 0,blanket : 5,improve : 8,stale : 28,smallest room : 13,awkward : 17,improve : 6
electrical : 79,camping : 0,camping : 0,annoying step : 0,carrying : 5,inch : 8,burger : 27,smallish : 13,electrical : 17,plastic : 6
waste : 77,carpet : 0,carpet : 0,annoying wifi : 0,concrete : 5,outdated : 8,correct : 27,horrible : 12,horrible : 17,pricing : 6
curtain : 76,carrying : 0,carrying : 0,argue : 0,improvement : 5,struggle : 8,curtain : 27,improvement : 12,improvement : 17,pricy : 6
gripe : 73,cigarette : 0,cigarette : 0,awkward : 0,inch : 5,unfriendly : 8,meat : 27,dirty carpet : 11,plate : 17,rollaway bed : 6
struggle : 70,claim : 0,claim : 0,awkward bathroom : 0,meat : 5,unsure : 8,smallish : 25,unacceptable : 11,cramped : 16,weird : 6
bedside : 67,claustrophobic : 0,claustrophobic : 0,awkward bit : 0,mold : 5,worst hotel : 8,stuffy : 25,unfriendly : 11,poor service : 16,cramped room : 5
stale : 66,claustrophobic feel : 0,claustrophobic feel : 0,awkward configuration : 0,opinion : 5,electrical outlet : 7,trash : 25,cupboard : 10,pricing : 16,curtain : 5
mold : 65,claustrophobic person : 0,claustrophobic person : 0,awkward layout : 0,reviewer : 5,opinion : 7,cramped room : 24,curtain : 10,stick : 16,electrical : 5
meat : 63,claustrophobic room : 0,claustrophobic room : 0,awkward position : 0,stick : 5,stale : 7,uncomfortable bed : 24,dangerous : 10,training : 16,meat : 5
uncomfortable bed : 63,concrete : 0,concrete : 0,awkward shower : 0,waitress : 5,stuffy room : 7,bedside : 23,device : 10,bedside : 15,ability : 4
