0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
多 (many) : 2971,一般 (general) : 0,价格 (price) : 31,多 (many) : 136,多 (many) : 402,多 (many) : 2326,多 (many) : 78
价格 (price) : 1838,一般 一般 (General general) : 0,多 (many) : 29,价格 (price) : 98,价格 (price) : 296,价格 (price) : 1359,价格 (price) : 54
一般 (general) : 1713,一般 不足 (Generally insufficient) : 0,一般 (general) : 28,一般 (general) : 91,能 (can) : 219,一般 (general) : 1325,一般 (general) : 51
能 (can) : 1353,一般 东西 (General stuff) : 0,能 (can) : 18,能 (can) : 52,一般 (general) : 218,能 (can) : 1045,说 (Say) : 44
说 (Say) : 1196,一般 交通 (General traffic) : 0,看到 (see) : 15,说 (Say) : 46,说 (Say) : 171,说 (Say) : 926,需要 (need) : 24
中文 (Chinese) : 733,一般 人 (normal person) : 0,需要 (need) : 13,距离 (distance) : 43,地理 (geography) : 125,中文 (Chinese) : 586,中文 (Chinese) : 19
需要 (need) : 696,一般 价格 (General price) : 0,距离 (distance) : 11,需要 (need) : 42,需要 (need) : 100,需要 (need) : 517,能 (can) : 19
地理 (geography) : 691,一般 位置 (General location) : 0,地理 (geography) : 10,陈旧 (obsolete) : 34,中文 (Chinese) : 93,地理 (geography) : 513,看到 (see) : 15
看到 (see) : 550,一般 其它 (General other) : 0,中文 (Chinese) : 9,地理 (geography) : 31,距离 (distance) : 84,订 (Order) : 428,距离 (distance) : 15
订 (Order) : 533,一般 卫生 (General hygiene) : 0,说 (Say) : 9,看到 (see) : 31,看到 (see) : 70,看到 (see) : 419,订 (Order) : 13
距离 (distance) : 434,一般 印象 (General impression) : 0,不 多 (not much) : 7,老 (old) : 30,订 (Order) : 61,距离 (distance) : 281,地理 (geography) : 12
陈旧 (obsolete) : 319,一般 口味 (General taste) : 0,订 (Order) : 6,中文 (Chinese) : 26,不 多 (not much) : 47,陈旧 (obsolete) : 236,不 多 (not much) : 8
老 (old) : 297,一般 口感 (General taste) : 0,一般 设施 (General facilities) : 5,订 (Order) : 25,陈旧 (obsolete) : 43,老 (old) : 234,一般 服务 (General service) : 7
不 多 (not much) : 277,一般 味道 (General taste) : 0,多 品种 (multi breed) : 4,陈旧 设施 (Obsolete facilities) : 17,老 (old) : 26,多 人 (Multiple people) : 210,陈旧 (obsolete) : 6
